time,temperature_avg,temperature_min,temperature_max,relative_humidity,sunshine_duration,wind_velocity,precipitation,solar_radiation,evaporation
2020-07-31,25.7,20.8,31.8,65.214,7.8,0.792,0,517.92,4.46
2020-08-01,25.15,19.5,32.6,73.035,8,0.539,0,607.36,4.13
2020-08-02,25.925,21,32.4,75.627,8,0.568,0,636.48,4.22
2020-08-03,26.625,21.7,33.2,74.906,7.8,0.573,0,544.96,4.44
2020-08-04,27.15,21.8,32.2,73.563,2.7,1.032,0,576.16,4.7
2020-08-05,26.6,22.6,32,78.674,6,0.711,0,212.16,3.87
2020-08-06,26.975,22.5,33,79.094,7.7,0.796,0,399.36,4.92
2020-08-07,26.725,22.6,33.3,80.155,5.7,0.550,0,488.8,1.56
2020-08-08,27.125,22.8,32.8,81.187,7.8,0.527,1.3,513.76,3.71
2020-08-09,26.475,23,33.4,81.385,8,0.684,3.8,596.96,4.17
2020-08-10,26.5,22.2,33,79.865,7.4,0.726,26,678.08,4.22
2020-08-11,26.475,23.5,33,82.007,4.6,0.651,0,468,4.45
2020-08-12,27.175,23,32.7,77.783,3.8,0.623,2.5,422.24,1.03
2020-08-13,25.4,23.3,30.2,90.877,1.7,0.847,0,339.04,3.04
2020-08-14,26,22.8,31,86.505,1.6,0.487,34,122.72,2.2
2020-08-15,26.35,22.6,32.4,82.990,7,0.435,11,149.76,3.35
2020-08-16,25.625,23,32.4,85.752,7,0.914,0.5,553.28,9.29
2020-08-17,26.375,22.8,32.7,83.224,7.5,0.658,9,486.72,3.82
2020-08-18,25.15,22,31.8,83.884,2.9,0.672,0,511.68,4.89
2020-08-19,26.5,22.2,32.8,81.449,7.5,0.551,1,357.76,2.82
2020-08-20,27.1,22.6,32.4,77.905,5.9,0.522,0,476.32,5.26
2020-08-21,25.8,21,32.2,76.349,8,1.045,0,399.36,3.38
2020-08-22,26.4,21.1,33.4,71.352,8,1.210,0,565.76,6.26
2020-08-23,26.575,21.5,34,74.819,7.4,0.784,0,628.16,5.04
2020-08-24,26.525,22.2,32,72.417,5.2,0.712,0,586.56,4.7
2020-08-25,26.4,20.9,34,64.898,8,0.828,0,382.72,3.85
2020-08-26,26.6,21.6,24.4,72.806,8,1.343,0,730.08,4.72
2020-08-27,26.575,21.4,34.1,68.424,7.9,0.657,0,746.72,4.94
2020-08-28,26.45,24.1,33.2,71.890,8,0.685,0,719.68,6.36
2020-08-29,27.1,21.6,33.5,71.760,6.2,1.045,0,615.68,8.54
2020-08-30,27.175,22.6,33.4,76.318,6.2,0.808,0,574.08,1.73
2020-08-31,27.3,22.3,33.8,74.198,7.9,0.840,0,547.04,4.21
2020-09-01,27.15,21.4,34.2,69.568,7.3,0.944,0,624,5.1
2020-09-02,25.9,22.2,32,81.082,3.5,0.726,0,603.2,3.12
2020-09-03,27.125,23,32.7,73.664,4.1,0.781,1.5,299.52,3.92
2020-09-04,28,23.6,33.8,75.455,5.4,0.987,0,328.64,3.36
2020-09-05,26.875,23.6,33.6,82.552,5,0.763,0,260,4.62
2020-09-06,26.85,21.7,33.5,79.178,7,0.592,24.4,399.36,5.21
2020-09-07,27.7,23.2,34,74.452,7,0.679,0,665.6,5.37
2020-09-08,27.25,22.4,33,72.561,7.7,0.824,0,665.6,6.02
2020-09-09,27.375,23.5,34,76.153,7.3,0.853,0,476.32,5.24
2020-09-10,26.6,23.4,33.2,82.045,5.4,0.968,0,653.12,5.14
2020-09-11,26,22.5,32.3,86.189,4.9,0.566,8.8,480.48,5.58
2020-09-12,27.3,22.4,33.4,78.044,7.2,0.587,28,399.36,5.92
2020-09-13,26.975,21.8,32.5,73.053,7.6,0.897,5.8,711.36,6.34
2020-09-14,25.85,22.8,32.4,80.760,7.2,0.803,0,642.72,4.6
2020-09-15,25.775,22.6,32.2,86.841,5.6,0.746,18.8,561.6,3.97
2020-09-16,25.4,19.9,32.3,73.320,8,0.602,12.2,603.2,3.87
2020-09-17,26.325,21.3,33.1,76.811,7.8,0.884,6.7,709.28,6.63
2020-09-18,27.05,21.4,32.6,73.908,7.4,0.649,0.6,775.84,4.95
2020-09-19,27.6,22.8,34.1,72.355,7.6,0.561,0,596.96,4.45
2020-09-20,24.7,23,30.4,90.692,1,1.048,0,680.16,5.51
2020-09-21,25.3,21.2,32.5,83.663,6.3,0.585,4.8,83.2,0.5
2020-09-22,25.825,22.8,32.1,86.779,4.2,0.814,12.2,551.2,5.4
2020-09-23,25.15,21,33.7,85.397,5.7,0.627,19.1,507.52,4.72
2020-09-24,26.75,20.4,33.8,82.076,7.9,0.694,51,680.16,6.41
2020-09-25,27.825,22.5,34.4,74.793,6.8,0.698,0,642.72,5.14
2020-09-26,25.5,22.5,33.1,85.068,6.3,0.760,0,680.16,4.78
2020-09-27,24.725,20.6,31.6,90.520,4.2,0.707,30,540.8,4.29
2020-09-28,25.725,21,32.8,85.355,5.7,0.592,101.5,380.64,0
2020-09-29,25.7,21.2,32.6,84.436,5.8,0.531,8,628.16,5.2
2020-09-30,27.25,22,33.6,73.746,7.9,0.527,0.3,495.04,4.02
2020-10-01,27.375,23.4,32.5,80.799,5.2,0.926,0,721.76,5.2
2020-10-02,25.6,22.2,32.4,84.910,5.5,0.748,0.1,436.8,3.34
2020-10-03,25.525,22.6,30.6,86.587,2.5,0.802,31.1,505.44,3.75
2020-10-04,26.3,21.6,32,83.707,7,0.611,19.5,284.96,4.25
2020-10-05,26.15,21.2,32.2,80.567,5.3,0.758,122.9,507.52,0
2020-10-06,25.5,21.4,32.5,82.266,6.5,0.678,0,605.28,5.03
2020-10-07,26.9,21.6,33.2,77.148,7.7,0.734,3,632.32,3.32
2020-10-08,25.75,22.1,32.5,80.521,4.9,0.813,6.8,786.24,5.78
2020-10-09,25.4,22.8,31.6,89.697,2.1,0.749,39.2,578.24,4.8
2020-10-10,25.625,22.5,30.4,89.724,0.3,0.571,37.3,316.16,3.21
2020-10-11,27,22.4,31.8,81.307,4.1,0.461,40.9,226.72,3.18
2020-10-12,27.675,22.6,33,78.533,5.3,0.792,0,513.76,6.63
2020-10-13,26.375,24,32.4,82.293,5.9,0.573,0,513.76,4.47
2020-10-14,27.7,23,33.8,77.780,7.6,0.586,1.3,403.52,3.23
2020-10-15,27.2,23,33.4,80.555,3.6,0.697,5.8,619.84,0.43
2020-10-16,26.425,23,33.3,83.135,3.4,0.732,2.9,596.96,3.75
2020-10-17,27,23,32.4,81.916,6.8,0.546,5.5,534.56,4.92
2020-10-18,25.925,23.4,31.4,85.978,4.6,0.883,12,709.28,3.41
2020-10-19,26.05,23,32,86.287,5.1,0.733,12.6,428.48,4.24
2020-10-20,25.65,22.2,32.2,86.103,4.8,0.623,4.6,513.76,3.85
2020-10-21,25.975,22.4,32.3,86.967,4.8,0.763,113.3,611.52,0
2020-10-22,26.35,22.7,30.5,86.353,1.7,0.493,4.8,634.4,2.88
2020-10-23,26.9,23,31.6,81.315,3.1,0.623,1.9,205.92,4.25
2020-10-24,25.4,22.4,32.6,87.205,6,0.615,0.5,376.48,2.46
2020-10-25,25.65,21.8,31.3,87.163,5,0.961,75.1,594.88,0
2020-10-26,25.6,22.2,31.4,88.737,3.3,0.582,6,399.36,3.66
2020-10-27,25.4,22.7,30,89.982,1.4,0.556,13.5,411.84,3.55
2020-10-28,26.5,22,32,82.841,6.4,0.610,3,174.72,3.3
2020-10-29,27.25,23.2,32.4,82.302,7.5,0.587,16.6,549.12,5.29
2020-10-30,25.375,23,30,88.982,1.3,0.853,0.5,501.28,3.85
2020-10-31,26.075,23.4,31.3,87.776,4.2,0.508,3,131.04,1.31
2020-11-01,24.7,22.8,29.9,92.291,3.2,0.659,19.5,399.36,5.48
2020-11-02,25.65,22.4,31.3,86.963,2.4,0.653,3.6,226.72,1.38
2020-11-03,25.4,22.6,32,83.707,6.9,0.714,0.4,245.44,3.48
2020-11-04,25.9,21.8,32.2,85.153,4.6,0.523,4.5,734.24,2.13
